2024-03-28 15:26:56.279 | WARNING  | qlib.tests.data:qlib_data:175 - Data already exists: ~/.qlib/qlib_data/cn_data, the data download will be skipped
	If downloading is required: `exists_skip=False` or `change target_dir`
[3071557:MainThread](2024-03-28 15:26:56,280) INFO - qlib.Initialization - [config.py:416] - default_conf: client.
[3071557:MainThread](2024-03-28 15:26:56,283) INFO - qlib.Initialization - [__init__.py:74] - qlib successfully initialized based on client settings.
[3071557:MainThread](2024-03-28 15:26:56,283) INFO - qlib.Initialization - [__init__.py:76] - data_path={'__DEFAULT_FREQ': PosixPath('/home/zhonghao/.qlib/qlib_data/cn_data')}
[3071557:MainThread](2024-03-28 15:26:56,285) WARNING - qlib.Rolling - [rolling_benchmark.py:30] - Model type is not in the benchmark!
[3071557:MainThread](2024-03-28 15:26:56,295) INFO - qlib.Rolling - [base.py:162] - The prediction horizon is overrided
[3071557:MainThread](2024-03-28 15:26:56,296) INFO - qlib.Rolling - [base.py:173] - {'model': {'class': 'DEnsembleModel', 'module_path': 'qlib.contrib.model.double_ensemble', 'kwargs': {'base_model': 'gbm', 'loss': 'mse', 'num_models': 3, 'enable_sr': False, 'enable_fs': True, 'alpha1': 1, 'alpha2': 1, 'bins_sr': 10, 'bins_fs': 5, 'decay': 0.5, 'sample_ratios': [0.8, 0.7, 0.6, 0.5, 0.4], 'sub_weights': [1, 1, 1], 'epochs': 28, 'colsample_bytree': 0.8879, 'learning_rate': 0.2, 'subsample': 0.8789, 'lambda_l1': 205.6999, 'lambda_l2': 580.9768, 'max_depth': 8, 'num_leaves': 210, 'num_threads': 20, 'verbosity': -1}}, 'dataset': {'class': 'DatasetH', 'module_path': 'qlib.data.dataset', 'kwargs': {'handler': 'file:///home/zhonghao/code/qlib/exp_yaml/Alpha158.9a5cdb3f2b.pkl', 'segments': {'train': [datetime.date(2008, 1, 1), datetime.date(2014, 12, 31)], 'valid': [datetime.date(2015, 1, 1), datetime.date(2016, 12, 31)], 'test': [datetime.date(2017, 1, 1), datetime.date(2020, 8, 1)]}}}, 'record': [{'class': 'SignalRecord', 'module_path': 'qlib.workflow.record_temp', 'kwargs': {'model': '<MODEL>', 'dataset': '<DATASET>'}}, {'class': 'SigAnaRecord', 'module_path': 'qlib.workflow.record_temp', 'kwargs': {'ana_long_short': False, 'ann_scaler': 252}}, {'class': 'PortAnaRecord', 'module_path': 'qlib.workflow.record_temp', 'kwargs': {'config': {'strategy': {'class': 'TopkDropoutStrategy', 'module_path': 'qlib.contrib.strategy', 'kwargs': {'signal': '<PRED>', 'topk': 50, 'n_drop': 5}}, 'backtest': {'start_time': datetime.date(2017, 1, 1), 'end_time': datetime.date(2020, 8, 1), 'account': 100000000, 'benchmark': 'SH000300', 'exchange_kwargs': {'limit_threshold': 0.095, 'deal_price': 'close', 'open_cost': 0.0005, 'close_cost': 0.0015, 'min_cost': 5}}}}}]}
[3071557:MainThread](2024-03-28 15:26:56,297) WARNING - qlib.data - [data.py:666] - load calendar error: freq=day, future=True; return current calendar!
[3071557:MainThread](2024-03-28 15:26:56,298) WARNING - qlib.data - [data.py:669] - You can get future calendar by referring to the following document: https://github.com/microsoft/qlib/blob/main/scripts/data_collector/contrib/README.md
[3071557:MainThread](2024-03-28 15:26:56,388) INFO - qlib.Rolling - [base.py:190] - Deleting previous Rolling results
[3071557:MainThread](2024-03-28 15:26:56,391) INFO - qlib.Rolling - [base.py:196] - No previous rolling results
train tasks:   0%|          | 0/44 [00:00<?, ?it/s][3071557:MainThread](2024-03-28 15:26:56,394) WARNING - qlib.workflow - [expm.py:230] - No valid experiment found. Create a new experiment with name rolling_models_20240328152656.
[3071557:MainThread](2024-03-28 15:26:56,400) INFO - qlib.workflow - [exp.py:258] - Experiment 8 starts running ...
